Mcat Name,Subcat name,PC_ITEM_ID,PC_ITEM_NAME,FK_IM_SPEC_MASTER_DESC,FK_IM_SPEC_OPTIONS_DESC,PC_ITEM_FOB_PRICE,PC_ITEM_MOQ_UNIT_TYPE
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",29,Display Text Panel,Display Size (inch),12 Inch,9600,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",30,Allen Bradley 2711R-T4T - 4 Inch Human Machine Interface,Screen Size(Inches),"4""",18000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",31,Automation Panels,Type,Fully Automatic,10000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",32,Weintek HMI XE Series,Model Number/Name,Weintek XE Series,15000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",32,Weintek HMI XE Series,Screen Size,"9.7"",12"",15""",15000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",33,Weintek MT8103iE HMI,Mounting Type,PANEL MOUNT,40000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",33,Weintek MT8103iE HMI,Type,Fully Automatic,40000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",33,Weintek MT8103iE HMI,Model,WEINTEK MT8103iE,40000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",33,Weintek MT8103iE HMI,Product Type,HUMAN MACHINE INTERFACE,40000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",33,Weintek MT8103iE HMI,Display Type,"10.1"" TFT",40000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",33,Weintek MT8103iE HMI,Screen Size,"10.1""",40000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",33,Weintek MT8103iE HMI,Power,24VDC,40000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",34,Human Machine Interface,Display Size,103.68 x 58.75mm,16000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",34,Human Machine Interface,Display Type,"4.7"" T FT LCD (65536 colors)",16000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",34,Human Machine Interface,Model,DOP-B04S211,16000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",35,Delta DOP-HMC HMI,Power,24V DC,50000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",35,Delta DOP-HMC HMI,Phase,Single Phase,50000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",36,Magelis XBT GH - Advanced Hand Held Panel HMI,Brand,Maven Automation,13000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",37,Magelis XBT GTW - Advanced Open Touchscreen Panels HMI,Brand,Maven Automation,30000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",38,Flame Proof HMI Panel,Application,"Pharma, Chemical and Biotechnology",250000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",38,Flame Proof HMI Panel,Usage/Application,HMI Integration,250000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",39,Technoshot Fuji Electric HMI,Type,FUJI,24000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",40,Sulzer G6200 Display Control Panel,Display Type,Digital,40000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",40,Sulzer G6200 Display Control Panel,Product Type,Machine Control Panel,40000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",40,Sulzer G6200 Display Control Panel,Brand,Sulzer,40000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",41,Siemens HMI Spare Parts or Refurbished,Product Type,HMI,15000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",41,Siemens HMI Spare Parts or Refurbished,Application,Industrial,15000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",41,Siemens HMI Spare Parts or Refurbished,Type,Fully Automatic,15000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",41,Siemens HMI Spare Parts or Refurbished,Model Number/Name,SIEMENS,15000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",42,Touch Screen Panel,Display Size,"4.3""  to 21.5""",4500,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",43,HMI Touch Panel,Display Type,TN,4500,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",43,HMI Touch Panel,Screen Size,"3.5"" to  19""",4500,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",43,HMI Touch Panel,Type,Any Type,4500,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",44,Autonics Graphic Touch Panels,Brand,Autonics,15000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",45,DOP-B05S111 HMI,Brand,Delta,17000,Number
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",45,DOP-B05S111 HMI,Power,3.0W,17000,Number
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",46,HMI Operator Panels,Power,24 V DC,30000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",46,HMI Operator Panels,Phase,Three Phase,30000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",47,HMI Touch Panels,Phase,Three Phase,30000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",47,HMI Touch Panels,Power,220-240 V,30000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",48,Human Machine Interface(HMI),Display Size,3.5 inch,40000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",49,Delta HMI Touch Panel,Display Type,Digital,16000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",49,Delta HMI Touch Panel,Temperature Range,-20 to 60 Degree C,16000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",50,HMI Touch Panel,Display Type,Touch,15000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",50,HMI Touch Panel,Brand,Kinco,15000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",50,HMI Touch Panel,Type,Fully Automatic,15000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",50,HMI Touch Panel,Operating System,Linux,15000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",51,Delta HMI,Type,Manual,12500,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",51,Delta HMI,Application,Various,12500,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",51,Delta HMI,Power,24 volt,12500,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",51,Delta HMI,Display Type,TFT,12500,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",51,Delta HMI,Model,BOP Series,12500,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",51,Delta HMI,Operating System,Windows 7,12500,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",51,Delta HMI,Screen Size,4.3 to 19,12500,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",51,Delta HMI,Screen Type,TFT,12500,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",51,Delta HMI,Display Size,4.3 to 19,12500,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",52,Control Panel,Brand,Advantech,80000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",52,Control Panel,Operating System,Windows 7,80000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",52,Control Panel,Display Type,XGA TFT LED LCD,80000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",52,Control Panel,Screen Size,12.1,80000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",52,Control Panel,Model,TPC-1581,80000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",52,Control Panel,Screen Type,"5-wire, analog resistive",80000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",53,HMI Touch Panel,Operating System,Windows XP embedded and  Windows XP Professional,12000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",54,Delta HMI,Application,Packaging,5000,Number
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",54,Delta HMI,Screen Size,7 inch,5000,Number
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",55,Omron Human Machine Interface,Model Number/Name,NB Series,10000,Number
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",55,Omron Human Machine Interface,Brand,Omron,10000,Number
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",55,Omron Human Machine Interface,Display Type,Touch Screen,10000,Number
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",55,Omron Human Machine Interface,Screen Size,"4,7,10,12 Inch",10000,Number
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",55,Omron Human Machine Interface,Power,24 VDC,10000,Number
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",56,Human Machine Interface-HMI,Screen Size(Inches),"4.3,7,10,12,15",25000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",57,Touch Screen Human Machine Interface Panel,Application,"Industrial,Commercial",9000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",57,Touch Screen Human Machine Interface Panel,Brand,Delta,9000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",58,2711-T6C5L1 HMI Allen Bradley,Display Size (inch),6 INCH,35000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",59,Fuji TS 1070 HMI,Screen Size(Inches),7,15000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",60,Human Machine Interface,Application,Manufacturing and Pharma,7000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",60,Human Machine Interface,Display Type,4 to 15 Inches Colour,7000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",60,Human Machine Interface,Screen Size,7,7000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",60,Human Machine Interface,Brand,Mitsubishi,7000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",61,Human Machine Interface,Brand,Siemens,9000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",62,eSMART07M HMI,Display Size (inch),"7"" TFT 169 wide color display",22320,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",63,Kinco Human Machine Interface,Screen Size(Inches),"4.3"" to 12.1""",10000,Number
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",64,Fuji HMI,Display Size (inch),"7""",18500,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",65,Siemens KTP HMI,Screen Size(Inches),10,15000,Number
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",66,Digital HMI Touch Panel,Display Type,Digital,16000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",67,Electric HMI Touch Panel,Display Type,Digital,16000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",68,Human Machine Interface-DOP-B08S515,Screen Size(Inches),8 Inch ,9000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",69,Siemens Comfort HMI,Display Size,7 inch,15000,Number
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",69,Siemens Comfort HMI,Power (Wattage),500 - 1000 W,15000,Number
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",70,Power HMI Touch Panel,Display Type,Digital,16000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",71,DOP-B05S100 HMI Touch Panel,Display Size (inch),5.6,8500,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",72,Touch Screen HMI,Screen Size(Inches),7,10000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",73,HMI,Screen Size,As per Model,25000,Number
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",73,HMI,Display Type,Graphis,25000,Number
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",73,HMI,Application,Operation,25000,Number
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",74,HMC07-N500 Series Human Machine Interface,Screen Size(Inches),7,12000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",75,"HMI DOP-B07E411 7"" ETHERNET",Model Number/Name,B-SERIES,17700,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",75,"HMI DOP-B07E411 7"" ETHERNET",Screen Size,"7""",17700,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",76,HMI With PLC Controller,Screen Size,"4.3"" 7""  10""",10000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",77,DOP-B03S211,Screen Size(Inches),Any,8250,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",78,Delta HMI DOP-100 Series,Screen Size(Inches),"7"" 10""",25000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",79,Weinview HMI Touch Panel Tk6070ip,Display Size,7 inch,17000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",80,PLC Compact logix L19 ERM  Allen bradley,Power,24 volt,62000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",80,PLC Compact logix L19 ERM  Allen bradley,Brand,allen bradley,62000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",80,PLC Compact logix L19 ERM  Allen bradley,Phase,Single Phase,62000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",81,NB Series Basic HMI,Screen Size(Inches),3.5 to 10 inches,30000,Piece
